,,,,,Recommended N (kg/ha),Recommended N (kg/ha),Recommended P2O5 (kg/ha),Recommended P2O5 (kg/ha),Recommended K2O (kg/ha),Recommended K2O (kg/ha)
CAR,0,Dry season,Combined,"(0, 2]",45.0,82.0,10.0,22.0,0.0,22.0
CAR,0,Dry season,Combined,"(2, 4]",56.0,100.0,10.0,29.0,0.0,42.0
CAR,0,Dry season,Combined,"(4, 6]",80.0,141.0,14.0,37.0,0.0,60.0
CAR,0,Dry season,Combined,"(6, 8]",128.0,175.0,25.0,44.0,25.0,69.0
CAR,0,Dry season,Combined,"(8, 10]",152.0,186.0,29.0,49.0,29.0,76.0
CAR,0,Dry season,Combined,"(10, 13]",186.0,186.0,30.0,43.0,30.0,43.0
CAR,0,Dry season,Manual,"(0, 2]",53.0,82.0,10.0,22.0,0.0,24.0
CAR,0,Dry season,Manual,"(2, 4]",48.0,116.0,10.0,33.0,0.0,50.0
CAR,0,Dry season,Manual,"(4, 6]",72.0,152.0,16.0,39.0,0.0,63.0
CAR,0,Dry season,Manual,"(6, 8]",124.0,175.0,28.0,47.0,28.0,85.0
CAR,0,Dry season,Manual,"(8, 10]",160.0,186.0,32.0,50.0,32.0,87.0
CAR,0,Dry season,Manual,"(10, 13]",165.0,186.0,32.0,46.0,32.0,47.0
CAR,0,Dry season,Reaper,"(0, 2]",48.0,82.0,10.0,23.0,0.0,23.0
CAR,0,Dry season,Reaper,"(2, 4]",57.0,98.0,12.0,28.0,12.0,45.0
CAR,0,Dry season,Reaper,"(4, 6]",87.0,139.0,18.0,38.0,0.0,69.0
CAR,0,Dry season,Reaper,"(6, 8]",136.0,173.0,32.0,46.0,32.0,86.0
CAR,0,Dry season,Reaper,"(8, 10]",165.0,186.0,38.0,55.0,38.0,118.0
CAR,0,Dry season,Reaper,"(10, 13]",171.0,186.0,39.0,43.0,39.0,52.0
CAR,0,Wet season,Combined,"(0, 2]",57.0,82.0,10.0,24.0,12.0,52.0
CAR,0,Wet season,Combined,"(2, 4]",56.0,88.0,10.0,24.0,0.0,52.0
CAR,0,Wet season,Combined,"(4, 6]",80.0,124.0,10.0,33.0,10.0,58.0
CAR,0,Wet season,Combined,"(6, 8]",92.0,137.0,18.0,35.0,18.0,70.0
CAR,0,Wet season,Combined,"(8, 10]",102.0,128.0,12.0,26.0,12.0,25.0
CAR,0,Wet season,Manual,"(0, 2]",44.0,82.0,10.0,23.0,10.0,44.0
CAR,0,Wet season,Manual,"(2, 4]",56.0,84.0,11.0,22.0,10.0,44.0
CAR,0,Wet season,Manual,"(4, 6]",72.0,120.0,14.0,32.0,14.0,54.0
CAR,0,Wet season,Manual,"(6, 8]",91.0,131.0,10.0,36.0,0.0,72.0
CAR,0,Wet season,Manual,"(8, 10]",108.0,124.0,22.0,30.0,22.0,30.0
CAR,0,Wet season,Reaper,"(0, 2]",82.0,82.0,20.0,23.0,37.0,47.0
CAR,0,Wet season,Reaper,"(2, 4]",56.0,82.0,15.0,22.0,15.0,35.0
CAR,0,Wet season,Reaper,"(4, 6]",77.0,120.0,19.0,34.0,19.0,54.0
CAR,0,Wet season,Reaper,"(6, 8]",116.0,126.0,29.0,34.0,29.0,58.0
CAR,0,Wet season,Reaper,"(8, 10]",120.0,128.0,29.0,31.0,31.0,31.0
CAR,1,Dry season,Combined,"(2, 4]",80.0,100.0,14.0,24.0,14.0,49.0
CAR,1,Dry season,Combined,"(4, 6]",98.0,139.0,23.0,36.0,23.0,66.0
CAR,1,Dry season,Combined,"(6, 8]",143.0,173.0,28.0,39.0,28.0,39.0
CAR,1,Dry season,Manual,"(0, 2]",44.0,82.0,15.0,23.0,15.0,31.0
CAR,1,Dry season,Manual,"(2, 4]",64.0,98.0,15.0,29.0,15.0,29.0
CAR,1,Dry season,Manual,"(4, 6]",92.0,113.0,21.0,30.0,21.0,30.0
CAR,1,Dry season,Manual,"(6, 8]",146.0,146.0,38.0,38.0,58.0,58.0
CAR,1,Dry season,Manual,"(8, 10]",172.0,172.0,40.0,40.0,44.0,44.0
CAR,1,Wet season,Combined,"(2, 4]",70.0,82.0,13.0,17.0,13.0,17.0
CAR,1,Wet season,Combined,"(4, 6]",77.0,116.0,12.0,31.0,12.0,35.0
CAR,1,Wet season,Combined,"(6, 8]",95.0,95.0,21.0,22.0,21.0,22.0
CAR,1,Wet season,Manual,"(0, 2]",56.0,56.0,17.0,17.0,26.0,31.0
CAR,1,Wet season,Manual,"(2, 4]",70.0,80.0,17.0,24.0,17.0,42.0
CAR,1,Wet season,Manual,"(4, 6]",88.0,116.0,22.0,31.0,22.0,37.0
CAR,1,Wet season,Manual,"(8, 10]",120.0,120.0,33.0,33.0,55.0,55.0
CAR,1,Wet season,Reaper,"(2, 4]",30.0,82.0,10.0,22.0,0.0,36.0
CAR,1,Wet season,Reaper,"(4, 6]",95.0,95.0,27.0,27.0,27.0,27.0
CAR,2,Dry season,Combined,"(0, 2]",43.0,46.0,12.0,17.0,0.0,29.0
CAR,2,Dry season,Combined,"(2, 4]",43.0,92.0,10.0,25.0,0.0,48.0
CAR,2,Dry season,Combined,"(4, 6]",88.0,137.0,18.0,33.0,18.0,65.0
CAR,2,Dry season,Combined,"(6, 8]",137.0,154.0,26.0,38.0,26.0,65.0
CAR,2,Dry season,Manual,"(0, 2]",43.0,62.0,14.0,22.0,14.0,43.0
CAR,2,Dry season,Manual,"(2, 4]",44.0,106.0,15.0,30.0,15.0,57.0
CAR,2,Dry season,Manual,"(4, 6]",82.0,146.0,23.0,40.0,26.0,83.0
CAR,2,Dry season,Manual,"(6, 8]",128.0,175.0,33.0,43.0,52.0,97.0
CAR,2,Dry season,Reaper,"(0, 2]",44.0,44.0,15.0,15.0,15.0,15.0
CAR,2,Dry season,Reaper,"(2, 4]",52.0,92.0,16.0,24.0,16.0,42.0
CAR,2,Dry season,Reaper,"(4, 6]",90.0,133.0,23.0,34.0,23.0,70.0
CAR,2,Dry season,Reaper,"(6, 8]",131.0,175.0,31.0,39.0,48.0,81.0
CAR,2,Wet season,Combined,"(0, 2]",43.0,44.0,11.0,17.0,0.0,17.0
CAR,2,Wet season,Combined,"(2, 4]",43.0,77.0,11.0,23.0,0.0,50.0
CAR,2,Wet season,Combined,"(4, 6]",77.0,120.0,10.0,28.0,10.0,54.0
CAR,2,Wet season,Combined,"(6, 8]",108.0,131.0,16.0,35.0,16.0,68.0
CAR,2,Wet season,Combined,"(8, 10]",116.0,124.0,17.0,23.0,17.0,23.0
CAR,2,Wet season,Manual,"(0, 2]",43.0,44.0,14.0,18.0,14.0,32.0
CAR,2,Wet season,Manual,"(2, 4]",43.0,80.0,14.0,25.0,14.0,52.0
CAR,2,Wet season,Manual,"(4, 6]",74.0,116.0,19.0,32.0,19.0,63.0
CAR,2,Wet season,Manual,"(6, 8]",108.0,120.0,27.0,30.0,27.0,38.0
CAR,2,Wet season,Reaper,"(0, 2]",43.0,43.0,17.0,18.0,28.0,32.0
CAR,2,Wet season,Reaper,"(2, 4]",44.0,77.0,17.0,23.0,18.0,32.0
CAR,2,Wet season,Reaper,"(4, 6]",90.0,95.0,25.0,26.0,37.0,38.0
CAR,2,Wet season,Reaper,"(6, 8]",124.0,124.0,32.0,32.0,49.0,49.0
CAR,3,Dry season,Combined,"(0, 2]",70.0,70.0,16.0,18.0,16.0,18.0
CAR,3,Dry season,Combined,"(2, 4]",62.0,92.0,10.0,22.0,10.0,21.0
CAR,3,Dry season,Combined,"(4, 6]",88.0,141.0,18.0,34.0,18.0,47.0
CAR,3,Dry season,Combined,"(6, 8]",128.0,167.0,28.0,40.0,28.0,47.0
CAR,3,Dry season,Combined,"(8, 10]",170.0,172.0,44.0,45.0,44.0,45.0
CAR,3,Dry season,Combined,"(10, 13]",169.0,169.0,32.0,32.0,32.0,32.0
CAR,3,Dry season,Manual,"(0, 2]",70.0,70.0,20.0,20.0,20.0,20.0
CAR,3,Dry season,Manual,"(2, 4]",70.0,82.0,17.0,23.0,17.0,28.0
CAR,3,Dry season,Manual,"(4, 6]",98.0,116.0,28.0,30.0,28.0,30.0
CAR,3,Dry season,Manual,"(6, 8]",141.0,141.0,39.0,39.0,58.0,58.0
CAR,3,Wet season,Combined,"(0, 2]",70.0,82.0,14.0,20.0,14.0,20.0
CAR,3,Wet season,Combined,"(2, 4]",70.0,82.0,10.0,20.0,10.0,20.0
CAR,3,Wet season,Combined,"(4, 6]",82.0,120.0,11.0,31.0,0.0,45.0
CAR,3,Wet season,Combined,"(6, 8]",102.0,120.0,16.0,32.0,16.0,44.0
CAR,3,Wet season,Combined,"(8, 10]",113.0,120.0,18.0,19.0,18.0,19.0
CAR,3,Wet season,Manual,"(0, 2]",70.0,70.0,19.0,19.0,19.0,19.0
CAR,3,Wet season,Manual,"(2, 4]",70.0,82.0,18.0,21.0,18.0,21.0
CAR,3,Wet season,Reaper,"(2, 4]",62.0,82.0,16.0,22.0,30.0,39.0
CAR,3,Wet season,Reaper,"(4, 6]",67.0,120.0,10.0,29.0,0.0,39.0
CAR,3,Wet season,Reaper,"(6, 8]",120.0,120.0,29.0,32.0,29.0,32.0
CAR,5,Dry season,Combined,"(2, 4]",14.0,42.0,10.0,11.0,0.0,11.0
CAR,5,Dry season,Combined,"(4, 6]",50.0,91.0,10.0,16.0,10.0,16.0
CAR,5,Dry season,Combined,"(6, 8]",89.0,117.0,10.0,16.0,10.0,16.0
CAR,5,Dry season,Combined,"(8, 10]",115.0,121.0,18.0,28.0,18.0,28.0
CAR,5,Dry season,Combined,"(10, 13]",105.0,105.0,12.0,12.0,12.0,12.0
CAR,5,Dry season,Manual,"(0, 2]",37.0,37.0,10.0,10.0,10.0,20.0
CAR,5,Dry season,Manual,"(2, 4]",10.0,70.0,10.0,15.0,10.0,21.0
CAR,5,Dry season,Manual,"(4, 6]",27.0,99.0,10.0,25.0,9.0,37.0
CAR,5,Dry season,Manual,"(6, 8]",73.0,110.0,12.0,26.0,12.0,35.0
CAR,5,Dry season,Manual,"(8, 10]",94.0,141.0,20.0,29.0,20.0,39.0
CAR,5,Dry season,Manual,"(10, 13]",102.0,121.0,16.0,23.0,16.0,23.0
CAR,5,Dry season,Reaper,"(2, 4]",29.0,29.0,12.0,12.0,12.0,12.0
CAR,5,Dry season,Reaper,"(4, 6]",58.0,78.0,16.0,16.0,16.0,27.0
CAR,5,Wet season,Combined,"(0, 2]",44.0,82.0,13.0,21.0,13.0,30.0
CAR,5,Wet season,Combined,"(2, 4]",44.0,82.0,11.0,20.0,0.0,22.0
CAR,5,Wet season,Combined,"(4, 6]",84.0,118.0,17.0,26.0,16.0,26.0
CAR,5,Wet season,Combined,"(6, 8]",108.0,128.0,21.0,27.0,21.0,27.0
CAR,5,Wet season,Manual,"(0, 2]",43.0,70.0,14.0,20.0,14.0,39.0
CAR,5,Wet season,Manual,"(2, 4]",43.0,84.0,11.0,25.0,11.0,54.0
CAR,5,Wet season,Manual,"(4, 6]",77.0,116.0,17.0,31.0,17.0,46.0
CAR,5,Wet season,Manual,"(6, 8]",102.0,124.0,25.0,32.0,25.0,47.0
CAR,5,Wet season,Manual,"(8, 10]",118.0,120.0,27.0,29.0,27.0,29.0
CAR,5,Wet season,Reaper,"(0, 2]",43.0,43.0,17.0,17.0,17.0,28.0
CAR,5,Wet season,Reaper,"(2, 4]",43.0,77.0,16.0,23.0,16.0,50.0
CAR,5,Wet season,Reaper,"(4, 6]",80.0,84.0,20.0,24.0,21.0,33.0
CAR,5,Wet season,Reaper,"(6, 8]",108.0,108.0,27.0,27.0,29.0,29.0
CAR,6,Dry season,Combined,"(0, 2]",43.0,57.0,10.0,18.0,10.0,33.0
CAR,6,Dry season,Combined,"(2, 4]",46.0,98.0,10.0,28.0,0.0,59.0
CAR,6,Dry season,Combined,"(4, 6]",84.0,137.0,18.0,36.0,0.0,79.0
CAR,6,Dry season,Combined,"(6, 8]",128.0,170.0,27.0,42.0,26.0,82.0
CAR,6,Dry season,Combined,"(8, 10]",173.0,173.0,33.0,43.0,33.0,87.0
CAR,6,Dry season,Manual,"(0, 2]",43.0,46.0,15.0,18.0,26.0,33.0
CAR,6,Dry season,Manual,"(2, 4]",44.0,113.0,16.0,33.0,16.0,70.0
CAR,6,Dry season,Manual,"(4, 6]",88.0,137.0,25.0,37.0,26.0,77.0
CAR,6,Dry season,Manual,"(6, 8]",133.0,165.0,32.0,41.0,52.0,82.0
CAR,6,Dry season,Manual,"(10, 13]",170.0,170.0,40.0,40.0,58.0,58.0
CAR,6,Dry season,Reaper,"(2, 4]",54.0,95.0,17.0,29.0,17.0,62.0
CAR,6,Dry season,Reaper,"(4, 6]",90.0,131.0,23.0,34.0,23.0,73.0
CAR,6,Dry season,Reaper,"(6, 8]",143.0,170.0,36.0,44.0,57.0,95.0
CAR,6,Dry season,Reaper,"(10, 13]",186.0,186.0,44.0,44.0,64.0,64.0
CAR,6,Wet season,Combined,"(0, 2]",43.0,44.0,15.0,17.0,15.0,17.0
CAR,6,Wet season,Combined,"(2, 4]",43.0,80.0,10.0,24.0,10.0,48.0
CAR,6,Wet season,Combined,"(4, 6]",77.0,120.0,16.0,29.0,15.0,56.0
CAR,6,Wet season,Combined,"(6, 8]",108.0,124.0,21.0,28.0,19.0,28.0
CAR,6,Wet season,Combined,"(8, 10]",124.0,124.0,22.0,22.0,22.0,22.0
CAR,6,Wet season,Manual,"(0, 2]",30.0,44.0,10.0,18.0,0.0,30.0
CAR,6,Wet season,Manual,"(2, 4]",43.0,80.0,12.0,25.0,12.0,50.0
CAR,6,Wet season,Manual,"(4, 6]",80.0,110.0,20.0,29.0,21.0,50.0
CAR,6,Wet season,Manual,"(6, 8]",108.0,116.0,28.0,29.0,28.0,50.0
CAR,6,Wet season,Reaper,"(0, 2]",43.0,43.0,16.0,16.0,16.0,16.0
CAR,6,Wet season,Reaper,"(2, 4]",46.0,46.0,17.0,17.0,17.0,17.0
CAR,6,Wet season,Reaper,"(4, 6]",90.0,120.0,23.0,33.0,25.0,57.0
CAR,6,Wet season,Reaper,"(6, 8]",116.0,133.0,28.0,34.0,28.0,50.0
MIMAROPA,0,Dry season,Combined,"(0, 2]",57.0,82.0,10.0,16.0,0.0,16.0
MIMAROPA,0,Dry season,Combined,"(2, 4]",52.0,102.0,10.0,26.0,0.0,26.0
MIMAROPA,0,Dry season,Combined,"(4, 6]",72.0,146.0,14.0,36.0,0.0,36.0
MIMAROPA,0,Dry season,Combined,"(6, 8]",124.0,175.0,29.0,43.0,29.0,50.0
MIMAROPA,0,Dry season,Combined,"(8, 10]",141.0,176.0,35.0,45.0,35.0,54.0
MIMAROPA,0,Dry season,Combined,"(10, 13]",165.0,186.0,40.0,48.0,40.0,61.0
MIMAROPA,0,Dry season,Manual,"(0, 2]",56.0,82.0,11.0,20.0,11.0,24.0
MIMAROPA,0,Dry season,Manual,"(2, 4]",56.0,100.0,11.0,29.0,0.0,29.0
MIMAROPA,0,Dry season,Manual,"(4, 6]",56.0,133.0,14.0,37.0,0.0,52.0
MIMAROPA,0,Dry season,Manual,"(6, 8]",116.0,173.0,32.0,46.0,32.0,80.0
MIMAROPA,0,Dry season,Manual,"(8, 10]",131.0,178.0,37.0,47.0,53.0,82.0
MIMAROPA,0,Dry season,Manual,"(10, 13]",157.0,165.0,40.0,44.0,62.0,71.0
MIMAROPA,0,Dry season,Reaper,"(0, 2]",57.0,82.0,15.0,20.0,15.0,20.0
MIMAROPA,0,Dry season,Reaper,"(2, 4]",67.0,88.0,17.0,22.0,18.0,22.0
MIMAROPA,0,Dry season,Reaper,"(4, 6]",98.0,124.0,28.0,33.0,28.0,33.0
MIMAROPA,0,Dry season,Reaper,"(8, 10]",159.0,159.0,43.0,43.0,72.0,72.0
MIMAROPA,0,Wet season,Combined,"(0, 2]",57.0,82.0,10.0,16.0,0.0,16.0
MIMAROPA,0,Wet season,Combined,"(2, 4]",57.0,84.0,10.0,17.0,0.0,17.0
MIMAROPA,0,Wet season,Combined,"(4, 6]",72.0,124.0,13.0,32.0,0.0,32.0
MIMAROPA,0,Wet season,Combined,"(6, 8]",95.0,139.0,22.0,36.0,17.0,57.0
MIMAROPA,0,Wet season,Combined,"(8, 10]",100.0,131.0,25.0,30.0,20.0,30.0
MIMAROPA,0,Wet season,Manual,"(0, 2]",47.0,82.0,10.0,20.0,0.0,24.0
MIMAROPA,0,Wet season,Manual,"(2, 4]",46.0,82.0,10.0,21.0,0.0,30.0
MIMAROPA,0,Wet season,Manual,"(4, 6]",72.0,128.0,13.0,37.0,13.0,72.0
MIMAROPA,0,Wet season,Manual,"(6, 8]",77.0,143.0,19.0,40.0,19.0,82.0
MIMAROPA,0,Wet season,Manual,"(8, 10]",98.0,131.0,26.0,37.0,28.0,70.0
MIMAROPA,0,Wet season,Manual,"(10, 13]",128.0,128.0,33.0,33.0,55.0,55.0
MIMAROPA,0,Wet season,Reaper,"(0, 2]",57.0,82.0,15.0,20.0,15.0,24.0
MIMAROPA,0,Wet season,Reaper,"(2, 4]",67.0,82.0,11.0,20.0,0.0,24.0
MIMAROPA,0,Wet season,Reaper,"(4, 6]",82.0,124.0,20.0,30.0,20.0,46.0
MIMAROPA,0,Wet season,Reaper,"(6, 8]",106.0,106.0,29.0,29.0,39.0,39.0
MIMAROPA,1,Dry season,Combined,"(0, 2]",46.0,46.0,14.0,14.0,14.0,14.0
MIMAROPA,1,Dry season,Combined,"(2, 4]",57.0,92.0,11.0,21.0,11.0,21.0
MIMAROPA,1,Dry season,Combined,"(4, 6]",88.0,128.0,18.0,31.0,18.0,31.0
MIMAROPA,1,Dry season,Combined,"(6, 8]",139.0,139.0,35.0,35.0,35.0,35.0
MIMAROPA,1,Dry season,Manual,"(0, 2]",43.0,70.0,12.0,18.0,12.0,18.0
MIMAROPA,1,Dry season,Manual,"(2, 4]",49.0,82.0,15.0,24.0,15.0,38.0
MIMAROPA,1,Dry season,Manual,"(4, 6]",72.0,116.0,19.0,32.0,19.0,32.0
MIMAROPA,1,Dry season,Manual,"(6, 8]",148.0,148.0,40.0,40.0,62.0,62.0
MIMAROPA,1,Dry season,Manual,"(8, 10]",165.0,165.0,43.0,43.0,68.0,68.0
MIMAROPA,1,Dry season,Reaper,"(0, 2]",43.0,43.0,15.0,15.0,15.0,15.0
MIMAROPA,1,Dry season,Reaper,"(4, 6]",90.0,126.0,23.0,35.0,23.0,43.0
MIMAROPA,1,Dry season,Reaper,"(6, 8]",128.0,131.0,35.0,36.0,45.0,47.0
MIMAROPA,1,Wet season,Combined,"(0, 2]",43.0,82.0,12.0,16.0,12.0,16.0
MIMAROPA,1,Wet season,Combined,"(2, 4]",43.0,82.0,11.0,18.0,11.0,18.0
MIMAROPA,1,Wet season,Combined,"(4, 6]",82.0,108.0,16.0,26.0,16.0,26.0
MIMAROPA,1,Wet season,Combined,"(6, 8]",108.0,128.0,27.0,30.0,22.0,30.0
MIMAROPA,1,Wet season,Manual,"(0, 2]",43.0,82.0,15.0,20.0,10.0,20.0
MIMAROPA,1,Wet season,Manual,"(2, 4]",43.0,82.0,15.0,24.0,15.0,40.0
MIMAROPA,1,Wet season,Manual,"(4, 6]",72.0,108.0,21.0,32.0,21.0,57.0
MIMAROPA,1,Wet season,Manual,"(6, 8]",102.0,110.0,29.0,31.0,38.0,62.0
MIMAROPA,1,Wet season,Manual,"(8, 10]",100.0,100.0,26.0,26.0,26.0,26.0
MIMAROPA,1,Wet season,Reaper,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
MIMAROPA,1,Wet season,Reaper,"(2, 4]",59.0,82.0,19.0,20.0,19.0,20.0
MIMAROPA,1,Wet season,Reaper,"(4, 6]",72.0,72.0,20.0,20.0,30.0,30.0
MIMAROPA,2,Dry season,Combined,"(0, 2]",43.0,82.0,11.0,16.0,11.0,16.0
MIMAROPA,2,Dry season,Combined,"(2, 4]",43.0,88.0,11.0,22.0,11.0,22.0
MIMAROPA,2,Dry season,Combined,"(4, 6]",76.0,131.0,15.0,33.0,0.0,39.0
MIMAROPA,2,Dry season,Combined,"(6, 8]",128.0,169.0,33.0,41.0,33.0,66.0
MIMAROPA,2,Dry season,Manual,"(0, 2]",43.0,82.0,13.0,20.0,12.0,21.0
MIMAROPA,2,Dry season,Manual,"(2, 4]",43.0,95.0,10.0,28.0,0.0,54.0
MIMAROPA,2,Dry season,Manual,"(4, 6]",77.0,131.0,20.0,36.0,16.0,75.0
MIMAROPA,2,Dry season,Manual,"(6, 8]",126.0,167.0,35.0,45.0,43.0,94.0
MIMAROPA,2,Dry season,Manual,"(8, 10]",139.0,154.0,39.0,43.0,81.0,92.0
MIMAROPA,2,Dry season,Manual,"(10, 13]",148.0,148.0,41.0,41.0,64.0,64.0
MIMAROPA,2,Dry season,Reaper,"(0, 2]",43.0,57.0,15.0,16.0,15.0,16.0
MIMAROPA,2,Dry season,Reaper,"(2, 4]",70.0,82.0,18.0,23.0,18.0,43.0
MIMAROPA,2,Dry season,Reaper,"(4, 6]",88.0,95.0,21.0,28.0,21.0,51.0
MIMAROPA,2,Wet season,Combined,"(0, 2]",43.0,82.0,11.0,16.0,10.0,16.0
MIMAROPA,2,Wet season,Combined,"(2, 4]",43.0,84.0,10.0,22.0,0.0,20.0
MIMAROPA,2,Wet season,Combined,"(4, 6]",74.0,118.0,14.0,29.0,0.0,45.0
MIMAROPA,2,Wet season,Combined,"(6, 8]",106.0,128.0,27.0,32.0,20.0,38.0
MIMAROPA,2,Wet season,Manual,"(0, 2]",43.0,82.0,11.0,20.0,0.0,24.0
MIMAROPA,2,Wet season,Manual,"(2, 4]",43.0,82.0,12.0,25.0,10.0,50.0
MIMAROPA,2,Wet season,Manual,"(4, 6]",72.0,120.0,19.0,34.0,19.0,65.0
MIMAROPA,2,Wet season,Manual,"(6, 8]",92.0,116.0,26.0,33.0,37.0,68.0
MIMAROPA,2,Wet season,Manual,"(8, 10]",110.0,110.0,31.0,31.0,46.0,46.0
MIMAROPA,2,Wet season,Reaper,"(2, 4]",59.0,82.0,19.0,22.0,19.0,22.0
MIMAROPA,2,Wet season,Reaper,"(4, 6]",80.0,106.0,20.0,29.0,20.0,43.0
MIMAROPA,2,Wet season,Reaper,"(6, 8]",128.0,128.0,32.0,32.0,50.0,50.0
MIMAROPA,3,Dry season,Combined,"(0, 2]",43.0,82.0,11.0,16.0,11.0,16.0
MIMAROPA,3,Dry season,Combined,"(2, 4]",43.0,98.0,11.0,25.0,11.0,25.0
MIMAROPA,3,Dry season,Combined,"(4, 6]",72.0,131.0,14.0,32.0,0.0,43.0
MIMAROPA,3,Dry season,Combined,"(6, 8]",128.0,173.0,30.0,44.0,30.0,48.0
MIMAROPA,3,Dry season,Combined,"(8, 10]",173.0,173.0,43.0,43.0,50.0,50.0
MIMAROPA,3,Dry season,Combined,"(10, 13]",157.0,157.0,34.0,34.0,34.0,34.0
MIMAROPA,3,Dry season,Manual,"(0, 2]",43.0,82.0,11.0,20.0,11.0,20.0
MIMAROPA,3,Dry season,Manual,"(2, 4]",43.0,92.0,10.0,28.0,0.0,52.0
MIMAROPA,3,Dry season,Manual,"(4, 6]",72.0,128.0,19.0,35.0,19.0,67.0
MIMAROPA,3,Dry season,Manual,"(6, 8]",116.0,173.0,33.0,46.0,33.0,77.0
MIMAROPA,3,Dry season,Manual,"(8, 10]",120.0,159.0,33.0,43.0,33.0,72.0
MIMAROPA,3,Dry season,Reaper,"(2, 4]",57.0,70.0,15.0,18.0,15.0,18.0
MIMAROPA,3,Dry season,Reaper,"(4, 6]",84.0,98.0,22.0,28.0,22.0,28.0
MIMAROPA,3,Wet season,Combined,"(0, 2]",43.0,82.0,11.0,16.0,10.0,16.0
MIMAROPA,3,Wet season,Combined,"(2, 4]",43.0,82.0,10.0,22.0,0.0,22.0
MIMAROPA,3,Wet season,Combined,"(4, 6]",72.0,118.0,11.0,31.0,0.0,51.0
MIMAROPA,3,Wet season,Combined,"(6, 8]",90.0,131.0,18.0,31.0,18.0,43.0
MIMAROPA,3,Wet season,Combined,"(8, 10]",95.0,113.0,22.0,27.0,17.0,27.0
MIMAROPA,3,Wet season,Manual,"(0, 2]",43.0,82.0,10.0,20.0,0.0,24.0
MIMAROPA,3,Wet season,Manual,"(2, 4]",43.0,84.0,10.0,26.0,0.0,52.0
MIMAROPA,3,Wet season,Manual,"(4, 6]",72.0,116.0,18.0,33.0,18.0,61.0
MIMAROPA,3,Wet season,Manual,"(6, 8]",100.0,116.0,28.0,32.0,28.0,66.0
MIMAROPA,3,Wet season,Manual,"(8, 10]",100.0,120.0,29.0,34.0,41.0,61.0
MIMAROPA,3,Wet season,Reaper,"(0, 2]",57.0,82.0,16.0,20.0,16.0,20.0
MIMAROPA,3,Wet season,Reaper,"(2, 4]",43.0,82.0,15.0,20.0,16.0,20.0
MIMAROPA,3,Wet season,Reaper,"(4, 6]",82.0,108.0,20.0,30.0,20.0,48.0
MIMAROPA,3,Wet season,Reaper,"(6, 8]",108.0,108.0,30.0,30.0,42.0,42.0
MIMAROPA,4,Dry season,Manual,"(0, 2]",57.0,57.0,15.0,15.0,15.0,15.0
MIMAROPA,4,Dry season,Manual,"(2, 4]",57.0,95.0,12.0,28.0,12.0,28.0
MIMAROPA,4,Dry season,Manual,"(4, 6]",88.0,128.0,22.0,36.0,22.0,49.0
MIMAROPA,4,Dry season,Manual,"(6, 8]",128.0,152.0,35.0,41.0,35.0,67.0
MIMAROPA,4,Dry season,Manual,"(8, 10]",152.0,152.0,41.0,41.0,63.0,66.0
MIMAROPA,4,Dry season,Reaper,"(4, 6]",120.0,124.0,33.0,34.0,33.0,42.0
MIMAROPA,4,Wet season,Manual,"(0, 2]",70.0,70.0,18.0,18.0,18.0,18.0
MIMAROPA,4,Wet season,Manual,"(2, 4]",70.0,77.0,18.0,20.0,18.0,28.0
MIMAROPA,4,Wet season,Manual,"(4, 6]",77.0,108.0,20.0,30.0,20.0,45.0
MIMAROPA,4,Wet season,Manual,"(6, 8]",108.0,108.0,30.0,30.0,45.0,45.0
MIMAROPA,4,Wet season,Reaper,"(2, 4]",70.0,70.0,18.0,18.0,18.0,18.0
MIMAROPA,4,Wet season,Reaper,"(4, 6]",82.0,102.0,21.0,29.0,21.0,41.0
MIMAROPA,5,Dry season,Combined,"(4, 6]",50.0,80.0,10.0,17.0,10.0,17.0
MIMAROPA,5,Dry season,Combined,"(6, 8]",86.0,97.0,11.0,16.0,11.0,16.0
MIMAROPA,5,Dry season,Combined,"(8, 10]",104.0,104.0,18.0,18.0,18.0,18.0
MIMAROPA,5,Dry season,Manual,"(0, 2]",37.0,37.0,10.0,10.0,10.0,10.0
MIMAROPA,5,Dry season,Manual,"(2, 4]",11.0,53.0,10.0,16.0,10.0,22.0
MIMAROPA,5,Dry season,Manual,"(4, 6]",40.0,78.0,10.0,21.0,10.0,27.0
MIMAROPA,5,Dry season,Manual,"(6, 8]",91.0,104.0,18.0,20.0,29.0,31.0
MIMAROPA,5,Dry season,Reaper,"(6, 8]",117.0,117.0,23.0,23.0,33.0,33.0
MIMAROPA,5,Wet season,Combined,"(0, 2]",43.0,70.0,12.0,19.0,10.0,31.0
MIMAROPA,5,Wet season,Combined,"(2, 4]",43.0,82.0,12.0,25.0,0.0,60.0
MIMAROPA,5,Wet season,Combined,"(4, 6]",74.0,116.0,14.0,33.0,10.0,74.0
MIMAROPA,5,Wet season,Combined,"(6, 8]",98.0,128.0,19.0,27.0,19.0,27.0
MIMAROPA,5,Wet season,Combined,"(8, 10]",106.0,106.0,17.0,17.0,17.0,17.0
MIMAROPA,5,Wet season,Manual,"(0, 2]",43.0,70.0,12.0,20.0,12.0,40.0
MIMAROPA,5,Wet season,Manual,"(2, 4]",43.0,80.0,10.0,23.0,0.0,33.0
MIMAROPA,5,Wet season,Manual,"(4, 6]",74.0,113.0,20.0,30.0,20.0,42.0
